method,run,distance,time_ms,volume,gt_volume,rel_error_pct
Warp Fourier,1,0.0,37.31822967529297,4.302946082706749,4.1887902047863905,2.72527083810301
Warp Fourier,2,0.0,36.09871864318848,4.302946082706741,4.1887902047863905,2.7252708381028192
Warp Fourier,3,0.0,35.46404838562012,4.30294608270675,4.1887902047863905,2.7252708381030315
Warp Fourier,4,0.0,35.50577163696289,4.302946082706766,4.1887902047863905,2.725270838103413
Warp Fourier,5,0.0,34.10649299621582,4.302946082706735,4.1887902047863905,2.725270838102671
Warp Fourier,1,0.1,33.898353576660156,4.034134907669669,3.8748927388152117,4.1095890799585675
Warp Fourier,2,0.1,34.059762954711914,4.034134907669671,3.8748927388152117,4.109589079958614
Warp Fourier,3,0.1,34.17158126831055,4.034134907669659,3.8748927388152117,4.109589079958316
Warp Fourier,4,0.1,33.86998176574707,4.034134907669661,3.8748927388152117,4.109589079958361
Warp Fourier,5,0.1,33.925771713256836,4.034134907669673,3.8748927388152117,4.10958907995866
Warp Fourier,1,0.2,33.991098403930664,3.629384422335044,3.5625660691708245,1.8755681120538894
Warp Fourier,2,0.2,33.956289291381836,3.6293844223350478,3.5625660691708245,1.875568112053989
Warp Fourier,3,0.2,34.16132926940918,3.629384422335053,3.5625660691708245,1.8755681120541385
Warp Fourier,4,0.2,33.922672271728516,3.6293844223350553,3.5625660691708245,1.875568112054201
Warp Fourier,5,0.2,33.861398696899414,3.6293844223350544,3.5625660691708245,1.875568112054176
Warp Fourier,1,0.3,33.90383720397949,3.263436185553772,3.253380992180029,0.3090690391906706
Warp Fourier,2,0.3,34.000396728515625,3.263436185553782,3.253380992180029,0.3090690391909845
Warp Fourier,3,0.3,34.63435173034668,3.26343618555376,3.253380992180029,0.309069039190302
Warp Fourier,4,0.3,34.294843673706055,3.263436185553781,3.253380992180029,0.30906903919094353
Warp Fourier,5,0.3,34.0418815612793,3.263436185553781,3.253380992180029,0.30906903919094353
Warp Fourier,1,0.4,33.802032470703125,2.9373954702654546,2.9489083041696187,0.39041003370248994
Warp Fourier,2,0.4,34.02447700500488,2.9373954702654483,2.9489083041696187,0.3904100337027008
Warp Fourier,3,0.4,34.006357192993164,2.9373954702654497,2.9489083041696187,0.3904100337026556
Warp Fourier,4,0.4,33.977508544921875,2.937395470265454,2.9489083041696187,0.390410033702505
Warp Fourier,5,0.4,33.8597297668457,2.9373954702654492,2.9489083041696187,0.39041003370267063
Warp Fourier,1,0.5,34.0123176574707,2.638091393340195,2.650718801466388,0.47637675181567646
Warp Fourier,2,0.5,33.86974334716797,2.63809139334019,2.650718801466388,0.47637675181586076
Warp Fourier,3,0.5,34.06023979187012,2.6380913933401864,2.650718801466388,0.47637675181599476
Warp Fourier,4,0.5,34.21378135681152,2.6380913933401975,2.650718801466388,0.4763767518155759
Warp Fourier,5,0.5,34.427642822265625,2.638091393340191,2.650718801466388,0.47637675181582717
Warp Fourier,1,0.6,34.2257022857666,2.372131324348448,2.360383280397131,0.49771763971063765
Warp Fourier,2,0.6,34.110307693481445,2.3721313243484485,2.360383280397131,0.49771763971065647
Warp Fourier,3,0.6,34.98959541320801,2.3721313243484476,2.360383280397131,0.4977176397106188
Warp Fourier,4,0.6,34.8966121673584,2.372131324348467,2.360383280397131,0.4977176397114466
Warp Fourier,5,0.6,34.307003021240234,2.3721313243484423,2.360383280397131,0.497717639710393
Warp Fourier,1,0.7,34.241676330566406,2.072916710459182,2.0794725372886433,0.315263929285133
Warp Fourier,2,0.7,33.908843994140625,2.0729167104591673,2.0794725372886433,0.3152639292858378
Warp Fourier,3,0.7,34.25121307373047,2.072916710459192,2.0794725372886433,0.31526392928464186
Warp Fourier,4,0.7,34.39760208129883,2.0729167104591855,2.0794725372886433,0.3152639292849622
Warp Fourier,5,0.7,34.02876853942871,2.0729167104591797,2.0794725372886433,0.3152639292852399
Warp Fourier,1,0.8,33.75649452209473,1.7880823421694714,1.8095573684677206,1.186755759859312
Warp Fourier,2,0.8,33.991336822509766,1.7880823421694683,1.8095573684677206,1.1867557598594838
Warp Fourier,3,0.8,34.15703773498535,1.788082342169465,1.8095573684677206,1.1867557598596679
Warp Fourier,4,0.8,34.264564514160156,1.7880823421694656,1.8095573684677206,1.1867557598596308
Warp Fourier,5,0.8,33.949851989746094,1.788082342169465,1.8095573684677206,1.1867557598596679
Warp Fourier,1,0.9,34.19303894042969,1.5212420839578837,1.5522085702611572,1.994995189213741
Warp Fourier,2,0.9,35.066843032836914,1.521242083957882,1.5522085702611572,1.9949951892138555
Warp Fourier,3,0.9,34.92856025695801,1.5212420839578862,1.5522085702611572,1.9949951892135838
Warp Fourier,4,0.9,34.24334526062012,1.521242083957885,1.5522085702611572,1.9949951892136553
Warp Fourier,5,0.9,34.80815887451172,1.5212420839578928,1.5522085702611572,1.9949951892131546
Warp Fourier,1,1.0,33.95438194274902,1.3205894127785183,1.3089969389957472,0.8855997624917842
Warp Fourier,2,1.0,33.888816833496094,1.3205894127785198,1.3089969389957472,0.8855997624919029
Warp Fourier,3,1.0,33.66446495056152,1.320589412778519,1.3089969389957472,0.885599762491835
Warp Fourier,4,1.0,34.14797782897949,1.3205894127785138,1.3089969389957472,0.8855997624914449
Warp Fourier,5,1.0,34.371376037597656,1.320589412778518,1.3089969389957472,0.8855997624917672
Warp Fourier,1,1.1,33.788442611694336,1.111142725221618,1.081493270998286,2.7415292372520788
Warp Fourier,2,1.1,33.80584716796875,1.1111427252216146,1.081493270998286,2.741529237251771
