method,run,distance,time_ms,volume,mesh_volume,intersection_pct,ref_volume,diff_vs_ref_pct
Warp Fourier,1,0.0,643.3966159820557,0.025353427743912763,0.02629452372834722,96.42094302921375,0.025353427743911774,3.9000343121029185e-12
Warp Fourier,2,0.0,638.2288932800293,0.025353427743912915,0.02629452372834722,96.42094302921433,0.025353427743911774,4.50214487256793e-12
Warp Fourier,3,0.0,650.813102722168,0.025353427743912783,0.02629452372834722,96.42094302921382,0.025353427743911774,3.982140297620874e-12
Warp Fourier,4,0.0,643.7945365905762,0.025353427743912835,0.02629452372834722,96.42094302921403,0.025353427743911774,4.187405261415766e-12
Warp Fourier,5,0.0,641.3431167602539,0.025353427743912842,0.02629452372834722,96.42094302921404,0.025353427743911774,4.214773923255084e-12
Warp Fourier,1,0.1,637.2048854827881,0.009008793126268629,0.02629452372834722,34.26110021744398,0.009008793126268205,4.698437650922915e-12
Warp Fourier,2,0.1,645.8261013031006,0.009008793126268665,0.02629452372834722,34.26110021744412,0.009008793126268205,5.102811383174477e-12
Warp Fourier,3,0.1,641.1020755767822,0.00900879312626864,0.02629452372834722,34.26110021744403,0.009008793126268205,4.83322889500677e-12
Warp Fourier,4,0.1,656.0800075531006,0.009008793126268682,0.02629452372834722,34.26110021744419,0.009008793126268205,5.2953703032942695e-12
Warp Fourier,5,0.1,638.3833885192871,0.009008793126268665,0.02629452372834722,34.26110021744412,0.009008793126268205,5.102811383174477e-12
Warp Fourier,1,0.2,640.5971050262451,0.00020250415620605043,0.02629452372834722,0.7701381409230001,0.00020250415620606232,5.8759874690770375e-12
Warp Fourier,2,0.2,648.2956409454346,0.00020250415620605154,0.02629452372834722,0.7701381409230044,0.00020250415620606232,5.3272050403021885e-12
Warp Fourier,3,0.2,641.8976783752441,0.00020250415620605988,0.02629452372834722,0.7701381409230361,0.00020250415620606232,1.2046443558472286e-12
Warp Fourier,4,0.2,38644.31691169739,0.00020250415620606718,0.02629452372834722,0.7701381409230639,0.00020250415620606232,2.3959037744072658e-12
Warp Fourier,5,0.2,-37361.96684837341,0.00020250415620605837,0.02629452372834722,0.7701381409230303,0.00020250415620606232,1.9542008439299483e-12
Warp Fourier,1,0.3,637.3474597930908,0.0004459509185165036,0.02629452372834722,1.6959840121984766,0.00044595091851648875,3.330763352268375e-12
Warp Fourier,2,0.3,654.2203426361084,0.00044595091851649683,0.02629452372834722,1.6959840121984506,0.00044595091851648875,1.811254523678788e-12
Warp Fourier,3,0.3,646.8114852905273,0.0004459509185164975,0.02629452372834722,1.695984012198453,0.00044595091851648875,1.957127371223388e-12
Warp Fourier,4,0.3,642.1318054199219,0.00044595091851649683,0.02629452372834722,1.6959840121984506,0.00044595091851648875,1.811254523678788e-12
Warp Fourier,5,0.3,633.0757141113281,0.00044595091851650127,0.02629452372834722,1.6959840121984677,0.00044595091851648875,2.8080523152335573e-12
Warp Fourier,1,0.4,632.0300102233887,0.0009631117605533263,0.02629452372834722,3.662784580178681,0.0009631117605532924,3.512272320516012e-12
Warp Fourier,2,0.4,645.9283828735352,0.0009631117605533265,0.02629452372834722,3.662784580178682,0.0009631117605532924,3.534786886673166e-12
Warp Fourier,3,0.4,642.4307823181152,0.0009631117605533229,0.02629452372834722,3.6627845801786676,0.0009631117605532924,3.1632965450801257e-12
Warp Fourier,4,0.4,646.3956832885742,0.0009631117605533273,0.02629452372834722,3.6627845801786845,0.0009631117605532924,3.6248451513017814e-12
Warp Fourier,5,0.4,606.5294742584229,0.000963111760553326,0.02629452372834722,3.6627845801786796,0.0009631117605532924,3.489757754358858e-12
Warp Fourier,1,0.5,627.4063587188721,-0.0014856044813667858,0.02629452372834722,-5.649862673744521,-0.0014856044813667505,inf
Warp Fourier,2,0.5,602.6017665863037,-0.0014856044813667934,0.02629452372834722,-5.6498626737445505,-0.0014856044813667505,inf
Warp Fourier,3,0.5,610.6095314025879,-0.0014856044813667925,0.02629452372834722,-5.649862673744547,-0.0014856044813667505,inf
Warp Fourier,4,0.5,603.7263870239258,-0.0014856044813667882,0.02629452372834722,-5.64986267374453,-0.0014856044813667505,inf
Warp Fourier,5,0.5,605.1914691925049,-0.001485604481366791,0.02629452372834722,-5.649862673744542,-0.0014856044813667505,inf
Warp Fourier,1,0.6,601.3915538787842,0.001363263427693781,0.02629452372834722,5.184590684272762,0.0013632634276937378,3.1652904045055308e-12
Warp Fourier,2,0.6,598.2561111450195,0.0013632634276937805,0.02629452372834722,5.184590684272761,0.0013632634276937378,3.1334784406411533e-12
Warp Fourier,3,0.6,613.7068271636963,0.001363263427693783,0.02629452372834722,5.18459068427277,0.0013632634276937378,3.3084442418952282e-12
Warp Fourier,4,0.6,601.5439033508301,0.001363263427693787,0.02629452372834722,5.184590684272786,0.0013632634276937378,3.6106578986068112e-12
Warp Fourier,5,0.6,602.6115417480469,0.0013632634276937756,0.02629452372834722,5.184590684272742,0.0013632634276937378,2.767640856200816e-12
Warp Fourier,1,0.7,602.5044918060303,0.0009695987587230859,0.02629452372834722,3.6874551094370838,0.0009695987587230539,3.2986803871783783e-12
Warp Fourier,2,0.7,602.2238731384277,0.0009695987587230934,0.02629452372834722,3.687455109437112,0.0009695987587230539,4.070236138755694e-12
Warp Fourier,3,0.7,610.8531951904297,0.0009695987587230883,0.02629452372834722,3.6874551094370926,0.0009695987587230539,3.544683670289986e-12
Warp Fourier,4,0.7,601.2678146362305,0.000969598758723083,0.02629452372834722,3.6874551094370727,0.0009695987587230539,2.99676726699595e-12
